attachments_num,email_subject_length,content_transfer_encoding_base64_num,content_disposition_attachment_num,content_disposition_num,content_disposition_unique_num,attachments_total_size,content_type_multipart_mixed_num,content_type_total_num,content_type_unique_num,content_transfer_encoding_unique_num,content_transfer_encoding_total_num,email_span_time,total_size_EmailMessage_in_bytes,email_eml_string_total_size_in_bytes,body_plain_text_length,Classification
0,23,0,0,0,0,0,0,1,1,1,1,975,56,30295,0,Phishing
0,23,0,0,0,0,0,0,1,1,1,1,1632,56,30293,0,Phishing
1,53,2,1,1,1,3233,0,3,3,2,3,39,56,18387,0,Phishing
0,28,1,0,0,0,0,0,1,1,1,1,2,56,10900,0,Phishing
0,42,0,0,0,0,0,0,1,1,1,1,45,56,29509,0,Phishing
0,62,0,0,0,0,0,0,1,1,1,1,2,56,9878,0,Phishing
0,62,0,0,0,0,0,0,1,1,1,1,2,56,9893,0,Phishing
0,51,0,0,0,0,0,0,1,1,1,1,35,56,6240,0,Phishing
0,30,0,0,0,0,0,0,2,2,1,2,2331,56,7536,795,Phishing
0,38,0,0,0,0,0,0,2,2,1,2,18,56,6140,313,Phishing
0,60,0,0,0,0,0,0,1,1,1,1,6,56,14919,0,Phishing
0,60,0,0,0,0,0,0,1,1,1,1,6,56,14919,0,Phishing
0,41,0,0,0,0,0,0,2,2,1,2,208,56,22038,1166,Phishing
0,34,0,0,0,0,0,0,1,1,1,1,195,56,3488,0,Phishing
0,42,0,0,0,0,0,0,2,2,1,2,660,56,30591,1161,Phishing
0,92,0,0,0,0,0,0,1,1,1,1,1,56,5358,0,Phishing
0,42,0,0,0,0,0,0,2,2,1,2,41,56,5998,220,Phishing
0,21,0,0,0,0,0,0,1,1,1,1,77,56,10198,0,Phishing
0,41,0,0,0,0,0,0,1,1,1,1,176804,56,5727,0,Phishing
0,31,0,0,0,0,0,0,2,2,1,2,104,56,11242,1904,Phishing
0,41,0,0,0,0,0,0,1,1,1,1,3,56,4937,0,Phishing
0,15,0,0,0,0,0,0,1,1,1,1,8,56,4385,0,Phishing
0,53,0,0,0,0,0,0,1,1,1,1,986,56,4160,0,Phishing
0,45,0,0,0,0,0,0,1,1,1,1,69187,56,21032,0,Phishing
0,41,0,0,0,0,0,0,1,1,1,1,2005,56,5002,0,Phishing
0,49,0,0,0,0,0,0,1,1,1,1,2350,56,4153,0,Phishing
0,36,0,0,0,0,0,0,1,1,1,1,3,56,6785,0,Phishing
0,11,0,0,0,0,0,0,1,1,1,1,32178,56,31017,0,Phishing
0,35,0,0,0,0,0,0,2,2,1,2,9,56,6359,829,Phishing
0,8,0,0,0,0,0,0,1,1,1,1,4900,56,4435,0,Phishing
1,24,1,0,0,0,1184,0,2,2,2,2,39,56,15479,0,Phishing
2,23,2,0,0,0,15572,0,3,3,2,3,6363,56,31300,0,Phishing
0,80,0,0,0,0,0,0,1,1,1,1,1,56,6092,1507,Phishing
0,63,0,0,0,0,0,0,2,2,1,2,2965,56,7066,552,Phishing
0,3,0,0,0,0,0,0,2,2,1,2,59721,56,13705,196,Phishing
0,46,0,0,0,0,0,0,1,1,1,1,2,56,7870,0,Phishing
0,17,0,0,0,0,0,0,1,1,1,1,2,56,3319,0,Phishing
0,69,0,0,0,0,0,0,2,2,1,2,7,56,4983,470,Phishing
0,27,0,0,0,0,0,0,1,1,1,1,28931,56,10465,0,Phishing
0,11,0,0,0,0,0,0,2,2,1,2,2,56,13686,323,Phishing
